# Time(s)     N            E            Z
 1.65000e+00 -2.55959e-22  4.18013e-06 -8.96024e-04
 1.66000e+00 -3.89033e-20  6.35339e-04  3.83381e-04
 1.67000e+00 -5.09674e-21  8.32360e-05 -9.49278e-04
 1.68000e+00 -4.50289e-20  7.35378e-04  3.32593e-04
 1.69000e+00 -1.22526e-20  2.00100e-04 -1.01953e-03
 1.70000e+00 -5.41731e-20  8.84713e-04  2.60816e-04
 1.71000e+00 -2.34116e-20  3.82341e-04 -1.11646e-03
 1.72000e+00 -6.87395e-20  1.12260e-03  1.54882e-04
 1.73000e+00 -4.20859e-20  6.87314e-04 -1.25843e-03
 1.74000e+00 -9.39969e-20  1.53509e-03 -1.15365e-05
 1.75000e+00 -7.64250e-20  1.24812e-03 -1.48438e-03
 1.76000e+00 -1.42935e-19  2.33431e-03 -2.97943e-04
 1.77000e+00 -1.47733e-19  2.41266e-03 -1.88825e-03
 1.78000e+00 -2.50956e-19  4.09842e-03 -8.55594e-04
 1.79000e+00 -3.12919e-19  5.11035e-03 -2.70825e-03
 1.80000e+00 -4.93372e-19  8.05738e-03 -2.00172e-03
 1.81000e+00 -6.01295e-19  9.81990e-03 -4.10803e-03
 1.82000e+00 -6.75644e-19  1.10341e-02 -3.09796e-03
 1.83000e+00 -5.25728e-19  8.58579e-03 -4.40787e-03
 1.84000e+00 -4.20079e-19  6.86042e-03 -2.93474e-03
 1.85000e+00 -2.74465e-19  4.48235e-03 -4.59992e-03
 1.86000e+00 -2.51103e-19  4.10082e-03 -3.93526e-03
 1.87000e+00 -1.82284e-19  2.97692e-03 -6.72714e-03
 1.88000e+00 -2.20395e-19  3.59932e-03 -7.59925e-03
 1.89000e+00 -2.02929e-19  3.31408e-03 -1.24387e-02
 1.90000e+00 -2.77226e-19  4.52744e-03 -1.48507e-02
 1.91000e+00 -2.44830e-19  3.99838e-03 -1.77568e-02
 1.92000e+00 -2.44391e-19  3.99120e-03 -1.37578e-02
 1.93000e+00 -1.46336e-19  2.38985e-03 -1.12058e-02
 1.94000e+00 -1.41103e-19  2.30439e-03 -6.53773e-03
 1.95000e+00 -6.87749e-20  1.12318e-03 -5.84910e-03
 1.96000e+00 -8.88802e-20  1.45152e-03 -2.98572e-03
 1.97000e+00 -3.32621e-20  5.43211e-04 -3.53891e-03
 1.98000e+00 -6.45164e-20  1.05363e-03 -1.42859e-03
 1.99000e+00 -1.54625e-20  2.52522e-04 -2.47290e-03
 2.00000e+00 -5.16051e-20  8.42776e-04 -6.56143e-04
 2.01000e+00 -5.29018e-21  8.63953e-05 -1.91593e-03
 2.02000e+00 -4.39574e-20  7.17880e-04 -2.24491e-04
 2.03000e+00  1.14424e-21 -1.86869e-05 -1.59436e-03
 2.04000e+00 -3.90493e-20  6.37724e-04  4.02302e-05
 2.05000e+00  5.53068e-21 -9.03229e-05 -1.39438e-03
 2.06000e+00 -3.57150e-20  5.83270e-04  2.14697e-04
 2.07000e+00  8.69486e-21 -1.41998e-04 -1.26300e-03
 2.08000e+00 -3.33555e-20  5.44736e-04  3.36432e-04
 2.09000e+00  1.10805e-20 -1.80958e-04 -1.17312e-03
 2.10000e+00 -3.16359e-20  5.16654e-04  4.25416e-04
 2.11000e+00  1.29446e-20 -2.11401e-04 -1.10976e-03
 2.12000e+00 -3.03562e-20  4.95754e-04  4.93038e-04
 2.13000e+00  1.44451e-20 -2.35907e-04 -1.06415e-03
 2.14000e+00 -2.93902e-20  4.79978e-04  5.46164e-04
 2.15000e+00  1.56842e-20 -2.56142e-04 -1.03087e-03
 2.16000e+00 -2.86549e-20  4.67970e-04  5.89125e-04
 2.17000e+00  1.67301e-20 -2.73224e-04 -1.00643e-03
 2.18000e+00 -2.80937e-20  4.58806e-04  6.24764e-04
 2.19000e+00  1.76304e-20 -2.87926e-04 -9.88503e-04
 2.20000e+00 -2.76669e-20  4.51835e-04  6.55007e-04
 2.21000e+00  1.84188e-20 -3.00802e-04 -9.75496e-04
 2.22000e+00 -2.73458e-20  4.46590e-04  6.81197e-04
 2.23000e+00  1.91201e-20 -3.12254e-04 -9.66283e-04
 2.24000e+00 -2.71092e-20  4.42727e-04  7.04294e-04
 2.25000e+00  1.97525e-20 -3.22583e-04 -9.60053e-04
 2.26000e+00 -2.69415e-20  4.39988e-04  7.24999e-04
 2.27000e+00  2.03302e-20 -3.32018e-04 -9.56208e-04
 2.28000e+00 -2.68305e-20  4.38175e-04  7.43834e-04
 2.29000e+00  2.08639e-20 -3.40734e-04 -9.54303e-04
 2.30000e+00 -2.67669e-20  4.37136e-04  7.61195e-04
 2.31000e+00  2.13621e-20 -3.48870e-04 -9.54000e-04
 2.32000e+00 -2.67434e-20  4.36752e-04  7.77385e-04
 2.33000e+00  2.18314e-20 -3.56534e-04 -9.55037e-04
 2.34000e+00 -2.67542e-20  4.36930e-04  7.92643e-04
 2.35000e+00  2.22772e-20 -3.63815e-04 -9.57213e-04
 2.36000e+00 -2.67948e-20  4.37592e-04  8.07155e-04
 2.37000e+00  2.27039e-20 -3.70784e-04 -9.60368e-04
 2.38000e+00 -2.68614e-20  4.38679e-04  8.21072e-04
 2.39000e+00  2.31152e-20 -3.77499e-04 -9.64375e-04
 2.40000e+00 -2.69509e-20  4.40142e-04  8.34517e-04
 2.41000e+00  2.35139e-20 -3.84010e-04 -9.69135e-04
 2.42000e+00 -2.70610e-20  4.41939e-04  8.47588e-04
 2.43000e+00  2.39025e-20 -3.90358e-04 -9.74567e-04
 2.44000e+00 -2.71895e-20  4.44039e-04  8.60368e-04
 2.45000e+00  2.42833e-20 -3.96576e-04 -9.80604e-04
 2.46000e+00 -2.73349e-20  4.46413e-04  8.72925e-04
 2.47000e+00  2.46579e-20 -4.02694e-04 -9.87195e-04
 2.48000e+00 -2.74957e-20  4.49040e-04  8.85319e-04
 2.49000e+00  2.50280e-20 -4.08738e-04 -9.94296e-04
 2.50000e+00 -2.76708e-20  4.51899e-04  8.97598e-04
 2.51000e+00  2.53949e-20 -4.14730e-04 -1.00187e-03
 2.52000e+00 -2.78592e-20  4.54976e-04  9.09805e-04
 2.53000e+00  2.57598e-20 -4.20690e-04 -1.00990e-03
 2.54000e+00 -2.80601e-20  4.58257e-04  9.21976e-04
 2.55000e+00  2.61239e-20 -4.26635e-04 -1.01835e-03
 2.56000e+00 -2.82728e-20  4.61730e-04  9.34145e-04
 2.57000e+00  2.64880e-20 -4.32581e-04 -1.02721e-03
 2.58000e+00 -2.84968e-20  4.65388e-04  9.46339e-04
 2.59000e+00  2.68531e-20 -4.38544e-04 -1.03646e-03
 2.60000e+00 -2.87314e-20  4.69220e-04  9.58582e-04
 2.61000e+00  2.72200e-20 -4.44537e-04 -1.04610e-03
 2.62000e+00 -2.89764e-20  4.73220e-04  9.70899e-04
 2.63000e+00  2.75897e-20 -4.50573e-04 -1.05612e-03
 2.64000e+00 -2.92312e-20  4.77381e-04  9.83307e-04
 2.65000e+00  2.79628e-20 -4.56667e-04 -1.06651e-03
 2.66000e+00 -2.94954e-20  4.81697e-04  9.95825e-04
 2.67000e+00  2.83402e-20 -4.62830e-04 -1.07728e-03
 2.68000e+00 -2.97688e-20  4.86161e-04  1.00847e-03
 2.69000e+00  2.87228e-20 -4.69079e-04 -1.08842e-03
 2.70000e+00 -3.00507e-20  4.90765e-04  1.02125e-03
 2.71000e+00  2.91115e-20 -4.75428e-04 -1.09995e-03
 2.72000e+00 -3.03407e-20  4.95502e-04  1.03417e-03
 2.73000e+00  2.95074e-20 -4.81893e-04 -1.11186e-03
 2.74000e+00 -3.06383e-20  5.00362e-04  1.04726e-03
 2.75000e+00  2.99115e-20 -4.88492e-04 -1.12418e-03
 2.76000e+00 -3.09430e-20  5.05337e-04  1.06051e-03
 2.77000e+00  3.03248e-20 -4.95242e-04 -1.13691e-03
 2.78000e+00 -3.12544e-20  5.10423e-04  1.07393e-03
 2.79000e+00  3.07479e-20 -5.02151e-04 -1.15006e-03
 2.80000e+00 -3.15730e-20  5.15626e-04  1.08755e-03
 2.81000e+00  3.11802e-20 -5.09211e-04 -1.16362e-03
 2.82000e+00 -3.19007e-20  5.20979e-04  1.10140e-03
 2.83000e+00  3.16192e-20 -5.16381e-04 -1.17755e-03
 2.84000e+00 -3.22421e-20  5.26554e-04  1.11555e-03
 2.85000e+00  3.20602e-20 -5.23583e-04 -1.19181e-03
 2.86000e+00 -3.26031e-20  5.32450e-04  1.13011e-03
 2.87000e+00  3.24979e-20 -5.30732e-04 -1.20632e-03
 2.88000e+00 -3.29883e-20  5.38740e-04  1.14513e-03
 2.89000e+00  3.29308e-20 -5.37801e-04 -1.22107e-03
 2.90000e+00 -3.33974e-20  5.45421e-04  1.16064e-03
 2.91000e+00  3.33622e-20 -5.44846e-04 -1.23610e-03
 2.92000e+00 -3.38264e-20  5.52427e-04  1.17658e-03
 2.93000e+00  3.37972e-20 -5.51949e-04 -1.25149e-03
 2.94000e+00 -3.42715e-20  5.59695e-04  1.19291e-03
 2.95000e+00  3.42394e-20 -5.59172e-04 -1.26731e-03
 2.96000e+00 -3.47309e-20  5.67199e-04  1.20963e-03
 2.97000e+00  3.46906e-20 -5.66540e-04 -1.28358e-03
 2.98000e+00 -3.52044e-20  5.74932e-04  1.22673e-03
 2.99000e+00  3.51519e-20 -5.74073e-04 -1.30032e-03
 3.00000e+00 -3.56916e-20  5.82888e-04  1.24423e-03
 3.01000e+00  3.56248e-20 -5.81797e-04 -1.31757e-03
 3.02000e+00 -3.61918e-20  5.91056e-04  1.26214e-03
 3.03000e+00  3.61110e-20 -5.89738e-04 -1.33535e-03
 3.04000e+00 -3.67044e-20  5.99428e-04  1.28046e-03
 3.05000e+00  3.66118e-20 -5.97917e-04 -1.35369e-03
 3.06000e+00 -3.72298e-20  6.08008e-04  1.29922e-03
 3.07000e+00  3.71277e-20 -6.06341e-04 -1.37260e-03
 3.08000e+00 -3.77690e-20  6.16814e-04  1.31844e-03
 3.09000e+00  3.76583e-20 -6.15007e-04 -1.39210e-03
